names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group,Significant
Mir6236,54.770737,3.2452536,0.0,0.0,1.0,Significant
Rn18s-rs5,53.078316,2.023606,0.0,0.0,1.0,Significant
Taco1,40.52144,4.0133195,0.0,0.0,0.7976284584980237,Significant
Camk1d,39.614742,2.4164429,0.0,0.0,0.891699604743083,Significant
Tshz2,36.95107,1.6740714,7.001204831932293e-299,2.0981873912371405e-295,0.9549407114624506,Significant
Rbms3,35.49335,1.9174252,6.224657542515541e-276,1.1076194535261796e-272,0.932806324110672,Significant
Slit3,35.109886,1.9512838,4.76276966437431e-270,7.5332463183093775e-267,0.9383399209486166,Significant
Naaladl2,34.466007,3.345545,2.5925178147189733e-260,3.785142484305463e-257,0.8150197628458498,Significant
Egfr,33.881626,2.9329712,1.2424609094170433e-251,1.684451586740854e-248,0.8166007905138339,Significant
Bicc1,31.81754,2.936601,3.703130926167052e-222,4.054999578209194e-219,0.7747035573122529,Significant
Zfpm2,31.1056,1.8501368,2.0231633381248656e-212,1.828586406923301e-209,0.8909090909090909,Significant
Lama2,30.989481,3.73535,7.471043612575912e-211,6.647010849120079e-208,0.6608695652173913,Significant
Thsd7a,29.965803,4.251736,2.739113679910078e-197,2.1662204451077745e-194,0.6102766798418973,Significant
Arhgap6,28.083721,2.9507062,1.54849560950263e-173,8.997233520478496e-171,0.6758893280632411,Significant
Gpc6,27.45917,3.570521,5.399492821864903e-166,2.8467825997204576e-163,0.6,Significant
Nav1,26.89116,3.0945191,2.7867133196676277e-159,1.3798108098712555e-156,0.6142292490118577,Significant
Rora,26.874308,1.0514525,4.3862949194895525e-159,2.1347010171850824e-156,0.9138339920948617,Significant
Fbn1,26.838123,2.9619486,1.1606806447895248e-158,5.600874287708502e-156,0.6521739130434783,Significant
Col5a2,24.947035,2.4636467,2.299627618411797e-137,9.420366634531374e-135,0.6363636363636364,Significant
Plxdc2,24.556236,2.1034663,3.710051270424143e-133,1.456924340615318e-130,0.7225296442687748,Significant
Ror1,24.361473,2.561784,4.3819991361338435e-131,1.6746000859771623e-128,0.6363636363636364,Significant
Ltbp1,23.838787,3.0473316,1.3236652910040713e-125,4.6814177226747094e-123,0.542292490118577,Significant
Scara5,23.606056,2.6345308,3.339869360062398e-123,1.1456355495862229e-120,0.5841897233201581,Significant
Ddr2,23.358494,2.5490842,1.1297773185196914e-120,3.7841558996370438e-118,0.5849802371541502,Significant
Gli3,22.46153,2.810777,9.87278629542656e-112,3.071947128130512e-109,0.516205533596838,Significant
Nova1,22.453747,3.0602715,1.1762485691312923e-111,3.640041835592658e-109,0.508300395256917,Significant
Kazn,21.702341,2.9742956,1.9497925638070705e-104,5.469120117031449e-102,0.4980237154150198,Significant
Sdk1,21.481518,2.2110462,2.31808616025135e-102,6.315509284730724e-100,0.6094861660079052,Significant
Meg3,21.340797,2.6258,4.747761064452289e-101,1.2751993526932915e-98,0.525691699604743,Significant
Magi2,21.246803,2.4657342,3.5289102688045483e-100,9.302762945185176e-98,0.5525691699604743,Significant
Maml2,20.586096,1.3867015,3.6568143850010356e-94,8.89840461095487e-92,0.7090909090909091,Significant
Abca8a,20.384584,2.9660761,2.2915442983520266e-92,5.325829546631133e-90,0.4766798418972332,Significant
Frmd6,20.336535,2.5578887,6.109852118452482e-92,1.4028269736967855e-89,0.49960474308300395,Significant
Creb5,20.262297,3.1990132,2.767497248212727e-91,6.2533357464476544e-89,0.4450592885375494,Significant
Pde3a,20.20992,2.484004,8.007640648655863e-91,1.7811057272465373e-88,0.5011857707509881,Significant
